CD_TIP_PRC,NM_TIP_PRC
1085,"BNDES PROMOB"
1086,"BNDES PROPFLORA"
1087,"BNDES RURAL"
1088,"CAF ASSUN«√O DE DÕVIDAS"
1089,"CAF CUSTEIO"
1090,"CAF INVEST"
1091,"CAF RENEG DÕVIDAS"
1092,"CAPITAL DE GIRO"
1093,"CARTA IMPORTA«√O"
1094,"CART√O BNDES (VISA DISTRIBUI«√O)"
1095,"CART√O EMPRESARIAL"
1096,CDF
1097,"CHEQUE OURO EMPRESARIAL"
1098,"COMBATE PR CPR NPT"
1099,"COMERCIALIZA«√O RURAL"
1100,"CONTA GARANTIDA"
1101,"COOPBENS AQUISI«√O BENS"
1102,COOPERAGRO
1103,COOPERFAT
1104,"COOPINSUMOS AQUISI«√O INSUMOS"
1105,"CR…DITO AGROINDUSTRIAL"
1106,"CREDITO FUNDI¡RIO COMBATE PR"
1107,"CUSTEIO AGRÕCOLA"
1108,"CUSTEIO PECU¡RIO"
1109,"DESCONTO DE NPR"
1110,"DESCONTO DE TÕTULOS"
1111,"DESCONTO DE CHEQUES"
1112,EGF
1113,"ESTOCAGEM DE ¡LCOOL"
1114,"FAT FOMENTAR"
1115,"FAT GIRO RURAL"
1116,"FAT GIRO RURAL FORNECEDORES"
1117,"FAT GIRO RURAL PROD RURAIS"
1118,"FAT GIRO SETORIAL"
1119,"FAT INTEGRAR EMPR"
1120,"FCO EMPRESARIAL"
1121,"FCO ESTOCAGEM"
1122,"FCO RURAL"
1123,"FINAME COM RECURSOS DE TERCEIROS"
1124,"FINAME CREGE"
1125,"FINAME MODERFROTA"
1126,"FINAME MODERINFRA"
1127,"FINAME PROCAMINHONEIRO"
1128,"FINAME PRODEAGRO"
1129,"FINAME PROVIAS"
1130,"FINAME RURAL"
1131,"FINAME RURAL LINHA"
1132,FINIMP
1133,"FUNCAF… COLHEITA"
1134,"FUNCAF… CUSTEIO"
1135,"FUNCAF… ESTOCAGEM"
1136,"INVESTIMENTO AGRÕCOLA"
1137,"INVESTIMENTO PECU¡RIO"
1138,LEASING
1139,"LEC COMERCIALIZA«√O"
1140,"MERCADO DE OP«’ES"
1141,"MOEDA VERDE CUSTEIO"
1142,"MOEDA VERDE INVESTIMENTO"
1143,"PRESTA«√O DE FIAN«A"
1144,"PRESTA«√O DE GARANTIA"
1145,"PRODEM DIVERSOS"
1146,"PRODEM PREFEITURAS"
1147,"PRODU«√O AGROPECU¡RIA PROD PR”PRIA"
1148,"PROGER EXPORTA«√O"
1149,"PROGER RURAL"
1150,"PROGER URBANO EMPRESARIAL"
1151,"PROGER URBANO PROFISSIONAL LIBERAL"
1152,PROLAPEC
1153,"PRONAF AGRICULTOR FAMILIAR CUSTEIO"
1154,"PRONAF AGRICULTOR FAMILIAR INVESTIMENTO"
1155,"PRONAF AGROECOLOGIA"
1156,"PRONAF AGROIND⁄STRIA CUSTEIO"
1157,"PRONAF AGROIND⁄STRIA INVESTIMENTO"
1158,"PRONAF CUSTEIO"
1159,"PRONAF ECO"
1160,"PRONAF FLORESTAL"
1161,"PRONAF INVESTIMENTO"
1162,"PRONAF MAIS ALIMENTOS"
1163,"PRONAF MULHER"
1164,"PRONAF PROGRAMAS ESPECIAIS"
1165,"PRONAF RECUP UNIDADES FAMILIARES"
1166,"PRONAF REFORMA AGR¡RIA"
1167,"RENEGOCIA«√O RURAL - INVESTIMENTO"
1168,"RENEGOCIA«√O RURAL - CUSTEIO"
1169,PROSA⁄DE
1170,"RECUPERA«√O DE LAVOURA DE CACAU"
1171,VENDOR
1172,"PRONAF REFORMA AGR¡RIA - PLANTA BRASIL- GRUPO A"
1173,"ACL FUMA«A - RECEBÕVEIS CART√O A REALIZAR"
1174,"PROJETO VOLUNT¡RIOS BB"
1175,"REESCALONAMENTO MPE"
1176,"PROGER URBANO EMPRESARIAL REFINANCIAMENTO"
1177,"BB GIRO APL"
1178,"REFINANCIAMENTO RURAL MCR 6.4"
1179,"RENEGOCIA«√O RURAL LEI 11.775"
1180,"RENEGOCIA«√O RURAL - PRONAF"
1181,"REFINANCIAMENTO RURAL FCO"
1182,"REFINANCIAMENTO RURAL FUNCAF…-CPR"
1183,"REFINANCIAMENTO RURAL BNDES/FINAME"
1184,"RENEGOCIA«√O DE DÕVIDAS PJ"
1185,"CDC CUSTOMIZADO"
1186,"HIPOTECA ABRANGENTE"
1187,"BB GIRO 13∫ SAL¡RIO"
1188,"ASSUN«√O PJ"
1189,"BNDES CAMINHOS DA ESCOLA"
1190,"FINAME PROESCOLAR"
1191,"BNDES PRONAF"
1192,"BNDES AUTOM¡TICO AGROPECU¡RIO"
1193,"BNDES PROG.MANUT.RECUP. EQUIP. AGRÕCOLA"
1194,"BNDES PROGRAMA ARMAZENAGEM CEREALISTAS NACIONAIS"
1195,"BNDES PRODUSA"
1196,"GIRO COM RECURSOS DO BNDES"
1197,"BNDES CAPITAL DE GIRO PROGEREN"
1198,"BNDES CAPITAL DE GIRO PEC"
1199,"BNDES REVITALIZA"
1200,"ACF - ANTECIPA«√O DE CONTRATO AO FORNECEDOR"
1201,"CARTA DE FIAN«A"
1202,"FINAME MODERFROTA REVENDA"
2074,"BNDES PROCAP AGRO"
2172,"PRONAMP CUSTEIO"
2173,"PRONAMP INVESTIMENTO"
2174,"FINAME EMPRESARIAL PSI"
2175,"FINAME RURAL PSI"
9224,"BB CAPITAL DE GIRO"
11072,"BNDES ABC"
11073,"BB CONVIR BNDES MODERAGRO DESENV"
11074,"BNDES INOVAGRO"
11079,"CR…DITO RURAL"
11080,"VALORA«√O RTA - HIPOTECA ABRANGENTE"
1339,"OPERA«’ES RURAIS"
1340,"OPERA«’ES CREGE"
1341,"OPERA«’ES RURAIS"
1342,"OPERA«’ES CREGE"
1619,"OPERA«’ES RURAIS"
8050,"OPERA«’ES COMERCIAIS"
8501,"TRATAR DIVERG NCIA COMERCIAL"
8909,"TRATAR DIVERG NCIA RURAL"
10220,"CONTRATO DE CAMBIO"
10221,"FISCALIZA«√O ESPECIAL"
10222,"HIPOTECA ABRANGENTE"
10223,"FINANCIAMENTO A IMPORTACAO"
10224,"PROJETO VOLUNT¡RIOS BB"
10225,"ASSUN«√O RURAL"
10226,"CAF ASSUN«√O DE DÕVIDAS"
10227,"CAF RENEG DÕVIDAS"
10228,"PROAGRO OU OUTROS EVENTOS CARATER URGENCIA"
10229,"RECOOP -  INTEGR.COTAS-PARTES CAPITAL"
10230,"REESTRUTURA«√O DE ATIVOS INTERESSE GOVERNAMENTAL"
10231,"REFINANCIAMENTO RURAL BNDES/FINAME"
10232,"REFINANCIAMENTO RURAL FUNCAF…-CPR"
10233,"REFINANCIAMENTO RURAL MCR 6.4"
10234,"RENEGOCIA«√O RURAL - CUSTEIO"
10235,"RENEGOCIA«√O RURAL - INVESTIMENTO"
10236,"RENEGOCIA«√O RURAL - PRONAF"
10237,"RENEGOCIA«√O RURAL LEI 11.775"
10238,"SECURITIZA«√O RURAL"
10239,"VENDAS DE BENS"
10240,"COMERC. E IND. PROD./INSUMOS AGROPEC. NAO EQUALIZ."
10241,"CONSORCIO DE AUTOM”VEIS"
10242,"CREDITO FUNDIARIO"
10243,"DESCONTO DE NOTA PROMISSORIA RURAL"
10244,"FINANCIAMENTO A EXPORTACAO"
10245,"FUNCAFE RESPONSABILIDADE DO FUNDO"
10246,"PROGRAMAS DIVERSOS"
10247,RECOOP
10248,"REFINANCIAMENTO DE DIVIDAS RURAIS"
10249,"CART√O DE CR…DITO"
10250,"ADMINISTRACAO CREDITOS CEDIDOS AO TESOURO NACIONAL"
10251,"CONTA GARANTIDA - RURAL"
10252,"ESTOQUE DE OPERA«’ES"
10253,"BNDES EXIM PRE-EMBARQUE"
10254,"APONT IND SUCROALCOLEIRO"
10255,"COMERCIALIZA«√O RURAL"
10256,EGF
10257,"ESTOCAGEM DE ¡LCOOL"
10258,"FUNCAF… ESTOCAGEM"
10259,"LEC COMERCIALIZA«√O"
10260,"MERCADO DE OP«’ES"
10261,"PRODU«√O AGROPECU¡RIA PROD PR”PRIA"
10262,"AGRICULTURA ORG¬NICA CUSTEIO"
10263,"BB CPR TETO"
10264,"CAF CUSTEIO"
10265,"COOPINSUMOS AQUISI«√O INSUMOS"
10266,"CUSTEIO AGRÕCOLA"
10267,"CUSTEIO AGROPECU¡RIO"
10268,"FUNCAF… COLHEITA"
10269,"FUNCAF… CUSTEIO"
10270,"MOEDA VERDE CUSTEIO"
10271,"PRONAF AGRICULTOR FAMILIAR CUSTEIO"
10272,"PRONAF AGROIND⁄STRIA CUSTEIO"
10273,"PRONAF CUSTEIO"
10274,"PRONAMP CUSTEIO"
10275,"FCO ESTOCAGEM"
10276,"FCO RURAL"
10277,"REFINANCIAMENTO RURAL FCO"
10278,"FAT GIRO RURAL"
10279,"FAT GIRO RURAL FORNECEDORES"
10280,"FAT GIRO RURAL PROD RURAIS"
10281,"AGRICULTURA ORG¬NICA INVESTIMENTO"
10282,"BANCO DA TERRA"
10283,"BNDES AUTOM¡TICO AGROPECU¡RIO"
10284,"BNDES MODERAGRO"
10285,"BNDES MODERINFRA"
10286,"BNDES PRODEAGRO"
10287,"BNDES PRODECOOP"
10288,"BNDES PRODUSA"
10289,"BNDES PROG.MANUT.RECUP. EQUIP. AGRÕCOLA"
10290,"BNDES PROGRAMA ARMAZENAGEM CEREALISTAS NACIONAIS"
10291,"BNDES PRONAF"
10292,"BNDES PROPFLORA"
10293,"BNDES RURAL"
10294,"CAF INVEST"
10295,"COMBATE PR CPR NPT"
10296,"COOPBENS AQUISI«√O BENS"
10297,"CREDITO FUNDI¡RIO COMBATE PR"
10298,"FINAME MODERFROTA"
10299,"FINAME MODERINFRA"
10300,"FINAME PRODEAGRO"
10301,"FINAME RURAL"
10302,"FINAME RURAL LINHA"
10303,"FINAME RURAL PSI"
10304,"FUNDO DE EXPANS√O DO AGRONEG”CIO PAULISTA"
10305,"INVESTIMENTO AGRÕCOLA"
10306,"INVESTIMENTO PECU¡RIO"
10307,"MOEDA VERDE INVESTIMENTO"
10308,PROLAPEC
10309,"PRONAF AGRICULTOR FAMILIAR INVESTIMENTO"
10310,"PRONAF AGROECOLOGIA"
10311,"PRONAF AGROIND⁄STRIA INVESTIMENTO"
10312,"PRONAF ECO"
10313,"PRONAF FLORESTAL"
10314,"PRONAF INVESTIMENTO"
10315,"PRONAF MAIS ALIMENTOS"
10316,"PRONAF MULHER"
10317,"PRONAF PROGRAMAS ESPECIAIS"
10318,"PRONAF RECUP UNIDADES FAMILIARES"
10319,"PRONAF REFORMA AGR¡RIA"
10320,"PRONAF REFORMA AGR¡RIA - PLANTA BRASIL- GRUPO A"
10321,PRONAMP
10322,"PRONAMP INVESTIMENTO"
10323,"RECUPERA«√O DE LAVOURA DE CACAU"
10324,"BANCO DA TERRA - INVESTIMENTO"
10325,"ADMINISTRACAO DE HAVERES DE FUNDOS GARANTIDORES"
10326,"ANTECIPACAO DE CREDITO AO LOJISTA"
10327,"ASSUN«√O PJ"
10328,"CONSORCIO DE MOTOCICLETAS"
10329,"DESCONTO DE TITULOS"
10330,"ESTOQUE DE OPERA«’ES - COMPOSI«√O"
10331,"FAT - PESSOA JURIDICA"
10332,FINAME
10333,"FINANCIAMENTO IMOBILIARIO"
10334,"FUNDOS DE DESENVOLVIMENTO"
10335,"PRESTACAO DE GARANTIA"
10336,"PROGER URBANO EMPRESARIAL REFINANCIAMENTO"
10337,"REESCALONAMENTO MPE"
10338,"REESTRUTURA«√O DE ATIVOS DE MERCADO"
10339,"RENEGOCIA«√O DE DÕVIDAS PJ"
10340,"PRESTACAO DE FIANCA"
10341,"CR…DITO AGROINDUSTRIAL"
10342,"FUNDO DA MARINHA MERCANTE"
10343,"ACF - ANTECIPA«√O DE CONTRATO AO FORNECEDOR"
10344,"ACL - ANTECIPA«√O DE CR…DITO AO LOJISTA"
10345,"ACL FUMA«A - RECEBÕVEIS CART√O A REALIZAR"
10346,"AQUISI«√O DE BENS"
10347,"BB GIRO APL"
10348,"BB GIRO AUTOM¡TICO/CONTRATO ⁄NICO"
10349,"BB GIRO R¡PIDO"
10350,"BB GIRO R¡PIDO/CONTRATO ⁄NICO"
10351,"CARTA DE FIAN«A"
10352,"CART√O EMPRESARIAL"
10353,CDF
10354,"CHEQUE OURO EMPRESARIAL"
10355,"DESCONTO DE CHEQUES"
10356,"DESCONTO DE NPR"
10357,"DESCONTO DE TÕTULOS"
10358,GIRO
10359,"PRESTA«√O DE FIAN«A"
10360,VENDOR
10361,"ACC EXPORTA«√O"
10362,"ACE EXPORTA«√O"
10363,"BB CAPITAL DE GIRO PR…-FIXADO"
10364,"BB GIRO 13∫ SAL¡RIO"
10365,"BB GIRO CDI POS"
10366,"BB GIRO FLEX"
10367,"BB GIRO FLEX ESTRUTURADO"
10368,"BB GIRO MIX PASEP"
10369,"BB GIRO PASEP"
10370,"BB ROYALTIES"
10371,"BNDES CAPITAL DE GIRO"
10372,"BNDES CAPITAL DE GIRO PEC"
10373,"BNDES CAPITAL DE GIRO PROGEREN"
10374,"CAPITAL DE GIRO"
10375,"CONTA GARANTIDA - COMERCIAL"
10376,"FAT GIRO SETORIAL"
10377,"GIRO COM RECURSOS DO BNDES"
10378,"PRESTA«√O DE GARANTIA"
10379,PROSA⁄DE
10380,"BB CAPITAL DE GIRO"
10381,"BNDES PROCAP AGRO"
10382,"BNDES CREGE INVESTIMENTO"
10383,"BNDES EXIM"
10384,"BNDES PROMOB"
10385,"BNDES REVITALIZA"
10386,"CARTA IMPORTA«√O"
10387,"CART√O BNDES (VISA DISTRIBUI«√O)"
10388,"CDC CUSTOMIZADO"
10389,"COMERCIALIZA«√O CREGE"
10390,COOPERAGRO
10391,COOPERFAT
10392,"CREDITO EMPRESA"
10393,"FAT FOMENTAR"
10394,"FAT INTEGRAR EMPR"
10395,"FAT PESSOA FISICA"
10396,"FINAME COM RECURSOS DE TERCEIROS"
10397,"FINAME EMPRESARIAL PSI"
10398,"FINAME PROCAMINHONEIRO"
10399,"FINAME PROESCOLAR"
10400,"FINAME PROVIAS"
10401,FINIMP
10402,LEASING
10403,"PRODEM DIVERSOS"
10404,"PRODEM PREFEITURAS"
10405,"PROGER EXPORTA«√O"
10406,"PROGER URBANO EMPRESARIAL"
10407,"PROGER URBANO PROFISSIONAL LIBERAL"
10408,"OUTRAS APLICACOES RECURSOS DE CONTA PROPRIA"
10409,"PARCELAMENTO DE INTERESSE GOVERNAMENTAL"
10410,"BNDES PMAT"
13155,"FISCALIZA«√O DOCUMENTAL - CREGE"
13156,"FISCALIZA«√O DOCUMENTAL - RURAL"
13207,"TRATAR PREFIXO 4925"
13387,COMERCIAL
13388,RURAL
13450,"TRATAR PREFIXO 4925 - ESTOQUE"
17196,"ASSESSORIA - ANALISE IRREGULARIDADE"
10432,"HIPOTECA ABRANGENTE"
10433,"FISCALIZA«√O ESPECIAL"
10434,"FINANCIAMENTO A IMPORTACAO"
10435,"CONTRATO DE CAMBIO"
10436,"PROJETO VOLUNT¡RIOS BB"
10437,RECOOP
10438,"ASSUN«√O RURAL"
10439,"CAF ASSUN«√O DE DÕVIDAS"
10440,"CAF RENEG DÕVIDAS"
10441,"RENEGOCIA«√O RURAL - INVESTIMENTO"
10442,"RENEGOCIA«√O RURAL - CUSTEIO"
10443,"REFINANCIAMENTO RURAL MCR 6.4"
10444,"RENEGOCIA«√O RURAL LEI 11.775"
10445,"RENEGOCIA«√O RURAL - PRONAF"
10446,"REFINANCIAMENTO RURAL FUNCAF…-CPR"
10447,"REFINANCIAMENTO RURAL BNDES/FINAME"
10448,"RECOOP -  INTEGR.COTAS-PARTES CAPITAL"
10449,"SECURITIZA«√O RURAL"
10450,"REESTRUTURA«√O DE ATIVOS INTERESSE GOVERNAMENTAL"
10451,"VENDAS DE BENS"
10452,"REFINANCIAMENTO DE DIVIDAS RURAIS"
10453,"DESCONTO DE NOTA PROMISSORIA RURAL"
10454,"FUNCAFE RESPONSABILIDADE DO FUNDO"
10455,"CREDITO FUNDIARIO"
10456,"PROGRAMAS DIVERSOS"
10457,"CONCSORCIO DE AUTOM”VEIS"
10458,"FINANCIAMENTO A EXPORTACAO"
10459,"COMERC. E IND. PROD./INSUMOS AGROPEC. NAO EQUALIZ."
10460,"PROAGRO OU OUTROS EVENTOS CARATER URGENCIA"
10461,"CART√O DE CR…DITO"
10462,"CONTA GARANTIDA - RURAL"
10463,"ESTOQUE DE OPERA«’ES"
10464,"ADMINISTRACAO CREDITOS CEDIDOS AO TESOURO NACIONAL"
10465,"BNDES EXIM PRE-EMBARQUE"
10466,"APONT IND SUCROALCOLEIRO"
10467,"COMERCIALIZA«√O RURAL"
10468,EGF
10469,"ESTOCAGEM DE ¡LCOOL"
10470,"FUNCAF… ESTOCAGEM"
10471,"LEC COMERCIALIZA«√O"
10472,"MERCADO DE OP«’ES"
10473,"PRODU«√O AGROPECU¡RIA PROD PR”PRIA"
10474,"AGRICULTURA ORG¬NICA CUSTEIO"
10475,"BB CPR TETO"
10476,"CAF CUSTEIO"
10477,"COOPINSUMOS AQUISI«√O INSUMOS"
10478,"CUSTEIO AGRÕCOLA"
10479,"CUSTEIO AGROPECU¡RIO"
10480,"FUNCAF… COLHEITA"
10481,"FUNCAF… CUSTEIO"
10482,"MOEDA VERDE CUSTEIO"
10483,"PRONAF AGRICULTOR FAMILIAR CUSTEIO"
10484,"PRONAF AGROIND⁄STRIA CUSTEIO"
10485,"PRONAF CUSTEIO"
10486,"PRONAMP CUSTEIO"
10487,"FCO ESTOCAGEM"
10488,"FCO RURAL"
10489,"REFINANCIAMENTO RURAL FCO"
10490,"FAT GIRO RURAL"
10491,"FAT GIRO RURAL FORNECEDORES"
10492,"FAT GIRO RURAL PROD RURAIS"
10493,"AGRICULTURA ORG¬NICA INVESTIMENTO"
10494,"BANCO DA TERRA"
10495,"BNDES MODERAGRO"
10496,"BNDES MODERINFRA"
10497,"BNDES PRODEAGRO"
10498,"BNDES PRODECOOP"
10499,"BNDES PROPFLORA"
10500,"BNDES RURAL"
10501,"CAF INVEST"
10502,"COMBATE PR CPR NPT"
10503,"COOPBENS AQUISI«√O BENS"
10504,"CREDITO FUNDI¡RIO COMBATE PR"
10505,"FINAME MODERFROTA"
10506,"FINAME MODERINFRA"
10507,"FINAME PRODEAGRO"
10508,"FINAME RURAL"
10509,"FINAME RURAL LINHA"
10510,"INVESTIMENTO AGRÕCOLA"
10511,"INVESTIMENTO PECU¡RIO"
10512,"MOEDA VERDE INVESTIMENTO"
10513,PRONAMP
10514,PROLAPEC
10515,"PRONAF AGRICULTOR FAMILIAR INVESTIMENTO"
10516,"PRONAF AGROECOLOGIA"
10517,"PRONAF AGROIND⁄STRIA INVESTIMENTO"
10518,"PRONAF ECO"
10519,"PRONAF FLORESTAL"
10520,"PRONAF INVESTIMENTO"
10521,"PRONAF MAIS ALIMENTOS"
10522,"PRONAF MULHER"
10523,"PRONAF PROGRAMAS ESPECIAIS"
10524,"PRONAF RECUP UNIDADES FAMILIARES"
10525,"PRONAF REFORMA AGR¡RIA"
10526,"RECUPERA«√O DE LAVOURA DE CACAU"
10527,"PRONAF REFORMA AGR¡RIA - PLANTA BRASIL- GRUPO A"
10528,"BNDES PRONAF"
10529,"BNDES AUTOM¡TICO AGROPECU¡RIO"
10530,"BNDES PROG.MANUT.RECUP. EQUIP. AGRÕCOLA"
10531,"BNDES PROGRAMA ARMAZENAGEM CEREALISTAS NACIONAIS"
10532,"BNDES PRODUSA"
10533,"FINAME RURAL PSI"
10534,"PRONAMP INVESTIMENTO"
10535,"FUNDO DE EXPANS√O DO AGRONEG”CIO PAULISTA"
10536,"BANCO DA TERRA - INVESTIMENTO"
10537,"FAT - PESSOA JURIDICA"
10538,"FUNDOS DE DESENVOLVIMENTO"
10539,FINAME
10540,"REESCALONAMENTO MPE"
10541,"PROGER URBANO EMPRESARIAL REFINANCIAMENTO"
10542,"RENEGOCIA«√O DE DÕVIDAS PJ"
10543,"ASSUN«√O PJ"
10544,"ESTOQUE DE OPERA«’ES - COMPOSI«√O"
10545,"REESTRUTURA«√O DE ATIVOS DE MERCADO"
10546,"FINANCIAMENTO IMOBILIARIO"
10547,"PRESTACAO DE FIANCA"
10548,"ADMINISTRACAO DE HAVERES DE FUNDOS GARANTIDORES"
10549,"DESCONTO DE TITULOS"
10550,"ANTECIPACAO DE CREDITO AO LOJISTA"
10551,"CONSORCIO DE MOTOCICLETAS"
10553,"PRESTACAO DE GARANTIA"
10554,"CR…DITO AGROINDUSTRIAL"
10555,"FUNDO DA MARINHA MERCANTE"
10556,"ACL - ANTECIPA«√O DE CR…DITO AO LOJISTA"
10557,"AQUISI«√O DE BENS"
10558,"BB GIRO AUTOM¡TICO/CONTRATO ⁄NICO"
10559,"BB GIRO R¡PIDO"
10560,"BB GIRO R¡PIDO/CONTRATO ⁄NICO"
10561,"CART√O EMPRESARIAL"
10562,CDF
10563,"CHEQUE OURO EMPRESARIAL"
10564,"DESCONTO DE NPR"
10565,"DESCONTO DE TÕTULOS"
10566,"DESCONTO DE CHEQUES"
10567,"PRESTA«√O DE FIAN«A"
10568,VENDOR
10569,"ACL FUMA«A - RECEBÕVEIS CART√O A REALIZAR"
10570,"BB GIRO APL"
10571,"ACF - ANTECIPA«√O DE CONTRATO AO FORNECEDOR"
10572,"CARTA DE FIAN«A"
10573,GIRO
10574,"ACC EXPORTA«√O"
10575,"ACE EXPORTA«√O"
10576,"BB CAPITAL DE GIRO PR…-FIXADO"
10577,"BB GIRO CDI POS"
10578,"BB GIRO FLEX"
10579,"BB GIRO FLEX ESTRUTURADO"
10580,"BB GIRO MIX PASEP"
10581,"BB GIRO PASEP"
10582,"BB ROYALTIES"
10583,"BNDES CAPITAL DE GIRO"
10584,"CAPITAL DE GIRO"
10585,"CONTA GARANTIDA - COMERCIAL"
10586,"FAT GIRO SETORIAL"
10587,"PRESTA«√O DE GARANTIA"
10588,PROSA⁄DE
10589,"BB GIRO 13∫ SAL¡RIO"
10590,"GIRO COM RECURSOS DO BNDES"
10591,"BNDES CAPITAL DE GIRO PROGEREN"
10592,"BNDES CAPITAL DE GIRO PEC"
10593,"BNDES PROCAP AGRO"
10594,"BB CAPITAL DE GIRO"
10595,"BNDES CREGE INVESTIMENTO"
10596,"BNDES EXIM"
10597,"BNDES PROMOB"
10598,"CARTA IMPORTA«√O"
10599,"CART√O BNDES (VISA DISTRIBUI«√O)"
10600,COOPERAGRO
10601,COOPERFAT
10602,"FAT FOMENTAR"
10603,"FAT INTEGRAR EMPR"
10604,"FINAME COM RECURSOS DE TERCEIROS"
10605,"FINAME PROCAMINHONEIRO"
10606,FINIMP
10607,LEASING
10608,"PRODEM DIVERSOS"
10609,"PRODEM PREFEITURAS"
10610,"PROGER EXPORTA«√O"
10611,"PROGER URBANO EMPRESARIAL"
10612,"PROGER URBANO PROFISSIONAL LIBERAL"
10613,"CDC CUSTOMIZADO"
10614,"FINAME PROESCOLAR"
10615,"BNDES REVITALIZA"
10616,"FINAME EMPRESARIAL PSI"
10617,"COMERCIALIZA«√O CREGE"
10618,"CREDITO EMPRESA"
10619,"FAT PESSOA FISICA"
10620,"OUTRAS APLICACOES RECURSOS DE CONTA PROPRIA"
10621,"PARCELAMENTO DE INTERESSE GOVERNAMENTAL"
10622,"BNDES PMAT"
13157,"FISCALIZA«√O DOCUMENTAL - RURAL"
13158,"FISCALIZA«√O DOCUMENTAL - CREGE"
13208,"TRATAR PREFIXO 4925"
13389,COMERCIAL
13390,RURAL
11081,"APURAR IRREGULARIDADE"
12920,"APURAR IRREGULARIDADE - PERDAS"
22219,"APURAR - REDUCAO AREA PROAGRO"
23562,"VERIFICAR DOCUMENTOS"
11082,CONTABILIZAR
11083,"CONTABILIZAR - XER"
1214,"CONTESTA«√O DE SAQUE"
1215,"IDENTIFICA«√O DE ABONO SALARIAL"
1216,"INVESTIGA«√O DE TITULARIDADE"
1217,"ALTERA«√O DE DATA DE CADASTRAMENTO"
1218,"INSCRI«’ES EXPURGADAS"
1219,"BLOQUEIO E DESBLOQUEIO JUDICIAL"
1220,"SAQUE JUDICIAL"
1221,"UNIFICA«√O DE CONTAS"
10996,"RESPONDER DEMANDAS CEF"
11308,ARQUIVO
12031,RECADASTRAMENTO
1222,"PROGRAMA PDA CONTRATOS NOVOS/ADITIVO"
1223,"PROGRAMA PDPI CONTRATOS NOVOS/ADITIVO"
1224,"LIBERA«√O DE RECURSOS PDA"
1225,"LIBERA«√O DE RECURSOS PDPI"
1363,"PRESTA«’ES DE CONTAS"
1366,PRORROGA«√O
1367,"CADASTRAMENTO DE CRONOGRAMA"
1232,"PROCURA«’ES PASSADAS NO EXTERIOR"
1308,"LEIAUTES DE ARQUIVOS"
1309,"VISITAS T…CNICAS"
1387,"CERTIFICA«√O DIGITAL"
11132,"LEIAUTE DE COBRAN«A - D⁄VIDAS"
11133,"LEIAUTE DE COBRAN«A - VALIDA«√O"
11134,"DEMAIS LEIAUTES - D⁄VIDAS"
11135,"DEMAIS LEIAUTES - VALIDA«√O"
12648,"ABRIR PROTOCOLO"
1313,"REPASSE FINANCEIRO DA ARREDA«√O GDF"
1314,"REPASSE FINANCEIRO DA ARRECADA«√O SEFAZ MS"
1315,"REPASSE DE ARRECADA«√O SEFAZ G0"
1372,"ENVIO DE INFORMA«’ES ARRECADA«√O SEFAZ PA"
1373,"REPASSE DE ARRECADA«√O MUNICIPAL PREF-GOIANIA"
1374,"TRATAMENTO A OFICIOS - GO"
1375,"TRATAMENTO A OFICIOS - DF"
9855,"REPASSE FINANCEIRO DA ARRECADA«√O DO SIMPLES RJ"
9856,"REPASSE FINANCEIRO DA ARRECADA«√O SEFAZ RJ"
9857,"REPASSE FINANCEIRO DA ARRECADA«√O SEFAZ MG"
9858,"ENVIO DE INFORMA«’ES CEDAE"
9859,"TRATAMENTO DE OFÕCIOS PROAC"
9860,"TRATAMENTO DE OFICIOS LPIE"
9861,"TARIFAS LPIE"
9862,"RESSARCIMENTO GUIA ARRECADADA IND SEFAZ MG"
9863,"RESSARCIMENTO DE GUIA ARRECADADA IND DETRAN PR"
9864,"RESSARCIMENTO DE GUIAS ARRECADADAS IND CEDAE"
9865,"RESSARCIMENTO DE GUIAS ARRECADADAS IND TJ SP"
9866,"RESSARCIMENTO DE GUIAS ARRECADADAS IND SEFAZ RJ"
9867,"TRATAMENTO INCONSISTENCIAS ARRECADACAO SEFAZ BA"
9868,"TRATAMENTO INCONSISTENCIAS ARRECADACAO DETRAN PR"
9869,"TRATAMENTO DE INCONSISTENCIAS DE ARRECADACAO TJ SP"
9870,"TRATAMENTO DE INCONSISTENCIAS DE ARRECADACAO CEDAE"
9871,"REPASSE FINANCEIRO DA ARRECADACAO PREFEITURA DE SP"
9872,"RESSARCIMENTO GUIA ARRECADADA IND SEFAZ PR"
9873,"RESSARCIMENTO DE GUIAS ARRECADADAS IND SEFAZ BA"
9874,"TRATAMENTO INCONSISTENCIAS ARRECADACAO SEFAZ MG"
9875,"TRATAMENTO INCONSISTENCIAS ARRECADACAO SEFAZ PR"
9876,"TRATAMENTO INCONSISTENCIAS ARRECADACAO SEFAZ RJ"
11078,"REPASSE FINANCEIRO DA ARRECADA«√O SEFAZ GO"
11125,"TRATAMENTO DE INCONSISTENCIAS SEFAZ GO"
11180,"REGULARIZAR  SEFAZ SP"
11181,"REPASSE FINANCEIRO DA ARRECADA«√O SEFAZ SP"
11182,"ATENDER GOV SP/SUPER GOV SP / SEFAZ SP"
11232,"REPASSE FINANCEIRO ARRECADA«√O SEFAZ ACRE"
11804,"INTERVENIENCIA  SEFAZ SP"
11809,"CONCILIAR AFRMM"
1352,"RETIFICA«√O DE DARF (REDARF)"
1377,"PESQUISA DE IRREGULARIDADE - MULTAS"
